(34, 15, 26) -0.1 (34, 15, 25) prev_q:-101.59, next_step_max_q:-101.40, new_p:-101.55
(34, 15, 25) -0.1 (34, 15, 24) prev_q:-101.40, next_step_max_q:-101.32, new_p:-101.41
(34, 15, 24) -0.1 (34, 14, 24) prev_q:-101.42, next_step_max_q:-101.33, new_p:-101.42
(34, 14, 24) -0.1 (34, 14, 24) prev_q:-101.43, next_step_max_q:-101.33, new_p:-101.43
(34, 14, 24) -0.1 (33, 14, 24) prev_q:-101.43, next_step_max_q:-101.97, new_p:-101.75
(33, 14, 24) -0.1 (33, 14, 25) prev_q:-101.97, next_step_max_q:-102.06, new_p:-102.07
(33, 14, 25) -0.1 (33, 13, 26) prev_q:-102.06, next_step_max_q:-102.16, new_p:-102.16
(33, 13, 26) -0.1 (33, 13, 27) prev_q:-102.16, next_step_max_q:-102.24, new_p:-102.25
(33, 13, 27) -0.1 (33, 13, 27) prev_q:-102.24, next_step_max_q:-102.24, new_p:-102.29
(33, 13, 27) -0.1 (33, 12, 27) prev_q:-102.29, next_step_max_q:-102.25, new_p:-102.32
(33, 12, 27) -0.1 (33, 12, 27) prev_q:-102.25, next_step_max_q:-102.25, new_p:-102.30
(33, 12, 27) -0.1 (33, 11, 27) prev_q:-102.30, next_step_max_q:-102.05, new_p:-102.23
(33, 11, 27) -0.1 (33, 11, 27) prev_q:-102.05, next_step_max_q:-102.05, new_p:-102.10
(33, 11, 27) -0.1 (33, 10, 27) prev_q:-102.10, next_step_max_q:-101.58, new_p:-101.89
(33, 10, 27) -0.1 (33, 10, 27) prev_q:-101.58, next_step_max_q:-101.58, new_p:-101.63
(33, 10, 27) -0.1 (33, 9, 27) prev_q:-101.63, next_step_max_q:-100.92, new_p:-101.33
(33, 9, 27) -0.1 (33, 9, 27) prev_q:-101.02, next_step_max_q:-100.92, new_p:-101.02
(33, 9, 27) -0.1 (33, 9, 28) prev_q:-101.02, next_step_max_q:-101.00, new_p:-101.06
(33, 9, 28) -0.1 (33, 9, 27) prev_q:-101.00, next_step_max_q:-100.92, new_p:-101.01
(33, 9, 27) -0.1 (33, 9, 26) prev_q:-100.92, next_step_max_q:-100.84, new_p:-100.93
(33, 9, 26) -0.1 (33, 9, 25) prev_q:-100.84, next_step_max_q:-100.75, new_p:-100.84
(33, 9, 25) -0.1 (33, 9, 23) prev_q:-100.75, next_step_max_q:-100.59, new_p:-100.72
(33, 9, 23) -0.1 (33, 8, 23) prev_q:-100.69, next_step_max_q:-100.59, new_p:-100.69
(33, 8, 23) -0.1 (33, 8, 23) prev_q:-100.69, next_step_max_q:-100.59, new_p:-100.69
(33, 8, 23) -0.1 (33, 8, 22) prev_q:-100.59, next_step_max_q:-100.51, new_p:-100.60
(33, 8, 22) -0.1 (32, 8, 22) prev_q:-100.61, next_step_max_q:-100.51, new_p:-100.61
(32, 8, 22) -0.1 (32, 8, 23) prev_q:-100.61, next_step_max_q:-100.59, new_p:-100.65
(32, 8, 23) -0.1 (32, 8, 22) prev_q:-100.59, next_step_max_q:-100.51, new_p:-100.60
(32, 8, 22) -0.1 (32, 8, 21) prev_q:-100.51, next_step_max_q:-100.42, new_p:-100.51
(32, 8, 21) -0.1 (32, 7, 21) prev_q:-100.52, next_step_max_q:-100.44, new_p:-100.53
(32, 7, 21) -0.1 (32, 7, 20) prev_q:-100.44, next_step_max_q:-100.35, new_p:-100.44
(32, 7, 20) -0.1 (32, 7, 19) prev_q:-100.35, next_step_max_q:-100.26, new_p:-100.36
(32, 7, 19) -0.1 (31, 7, 19) prev_q:-100.36, next_step_max_q:-100.26, new_p:-100.36
(31, 7, 19) -0.1 (31, 7, 18) prev_q:-100.26, next_step_max_q:-100.22, new_p:-100.29
(31, 7, 18) -0.1 (31, 7, 18) prev_q:-100.22, next_step_max_q:-100.22, new_p:-100.27
(31, 7, 18) -0.1 (30, 7, 18) prev_q:-100.27, next_step_max_q:-100.22, new_p:-100.29
