,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
218,param_3_low,"[0.5, 1.0]","[-1, -1]",0,0,-10
219,param_3_low,"[0.75, 0.5]","[-1, -1]",0,0,-4
220,param_3_low,"[0.75, 0.75]","[-1, -1]",0,0,-4
221,param_3_low,"[0.75, 1.0]","[-1, -1]",0,0,-10
222,param_3_low,"[1.0, 0.5]","[-1, -1]",0,0,-4
223,param_3_low,"[1.0, 0.75]","[-1, -1]",0,0,-4
224,param_3_low,"[1.0, 1.0]","[-1, -1]",0,0,-10
225,param_3_low,"[0.0, 0.0]","[-1, 0]",-1,-12,-10
226,param_3_low,"[0.25, 0.0]","[-1, 0]",0,-12,-10
227,param_3_low,"[0.0, 0.25]","[-1, 0]",0,-12,-10
228,param_3_low,"[0.25, 0.25]","[-1, 0]",1,-12,-10
229,param_3_low,"[0.5, 0.0]","[-1, 0]",-1,-4,-10
230,param_3_low,"[0.5, 0.25]","[-1, 0]",-1,-4,-4
231,param_3_low,"[0.75, 0.0]","[-1, 0]",-1,-4,-10
232,param_3_low,"[0.75, 0.25]","[-1, 0]",-1,-4,-4
233,param_3_low,"[1.0, 0.0]","[-1, 0]",-1,-4,-10
234,param_3_low,"[1.0, 0.25]","[-1, 0]",-1,-4,-4
235,param_3_low,"[0.0, 0.5]","[-1, 0]",-1,-10,-4
236,param_3_low,"[0.0, 0.75]","[-1, 0]",-1,-10,-4
237,param_3_low,"[0.0, 1.0]","[-1, 0]",-1,0,-10
238,param_3_low,"[0.25, 0.5]","[-1, 0]",0,-10,-4
239,param_3_low,"[0.25, 0.75]","[-1, 0]",0,-10,-4
240,param_3_low,"[0.25, 1.0]","[-1, 0]",0,0,-10
241,param_3_low,"[0.5, 0.5]","[-1, 0]",-1,-4,-4
242,param_3_low,"[0.5, 0.75]","[-1, 0]",-1,-4,-4
243,param_3_low,"[0.5, 1.0]","[-1, 0]",-1,9,-10
244,param_3_low,"[0.75, 0.5]","[-1, 0]",-1,-4,-4
245,param_3_low,"[0.75, 0.75]","[-1, 0]",-1,-4,-4
246,param_3_low,"[0.75, 1.0]","[-1, 0]",-1,9,-10
247,param_3_low,"[1.0, 0.5]","[-1, 0]",-1,-4,-4
248,param_3_low,"[1.0, 0.75]","[-1, 0]",-1,-4,-4
249,param_3_low,"[1.0, 1.0]","[-1, 0]",-1,9,-10
250,param_3_low,"[0.0, 0.0]","[0, -1]",-1,-17,-10
251,param_3_low,"[0.25, 0.0]","[0, -1]",0,-17,-10
252,param_3_low,"[0.0, 0.25]","[0, -1]",0,-17,-10
253,param_3_low,"[0.25, 0.25]","[0, -1]",1,-17,-10
254,param_3_low,"[0.5, 0.0]","[0, -1]",-1,-9,-10
255,param_3_low,"[0.5, 0.25]","[0, -1]",-1,4,-4
256,param_3_low,"[0.75, 0.0]","[0, -1]",-1,-9,-10
257,param_3_low,"[0.75, 0.25]","[0, -1]",-1,4,-4
258,param_3_low,"[1.0, 0.0]","[0, -1]",-1,-9,-10
259,param_3_low,"[1.0, 0.25]","[0, -1]",-1,4,-4
260,param_3_low,"[0.0, 0.5]","[0, -1]",-1,-5,-4
261,param_3_low,"[0.0, 0.75]","[0, -1]",-1,-5,-4
262,param_3_low,"[0.0, 1.0]","[0, -1]",-1,-5,-10
263,param_3_low,"[0.25, 0.5]","[0, -1]",0,-5,-4
264,param_3_low,"[0.25, 0.75]","[0, -1]",0,-5,-4
