,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
122,param_1_low_perf,"[0.25, 0.0]",[20 40],"[-1, 0]",egostistical,1,15,0
123,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, 0]",pomdp,0,23,6
124,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, 0]",myopic,1,27,12
125,param_2_low_perf,"[0.25, 0.0]",[20 60],"[-1, 0]",egostistical,1,15,0
126,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, 0]",pomdp,0,23,6
127,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, 0]",myopic,1,27,12
128,param_3_low_perf,"[0.25, 0.0]",[20 80],"[-1, 0]",egostistical,1,15,0
129,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, 0]",pomdp,0,23,6
130,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, 0]",myopic,1,25,12
131,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[-1, 0]",egostistical,1,15,0
132,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, 0]",pomdp,0,23,6
133,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, 0]",myopic,1,24,12
134,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[-1, 0]",egostistical,1,15,0
135,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, 0]",pomdp,0,27,8
136,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, 0]",myopic,1,26,12
137,param_6_low_perf,"[0.25, 0.0]",[40 60],"[-1, 0]",egostistical,1,15,0
138,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, 0]",pomdp,0,26,7
139,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, 0]",myopic,1,30,12
140,param_7_low_perf,"[0.25, 0.0]",[40 80],"[-1, 0]",egostistical,1,15,0
141,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, 0]",pomdp,0,23,6
142,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, 0]",myopic,1,30,12
143,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[-1, 0]",egostistical,1,15,0
144,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, -1]",pomdp,1,19,3
145,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, -1]",myopic,1,29,12
146,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, -1]",egostistical,1,15,0
147,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, -1]",pomdp,1,22,6
148,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, -1]",myopic,1,31,12
149,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, -1]",egostistical,1,15,0
150,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, -1]",pomdp,1,22,6
151,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, -1]",myopic,1,31,12
152,param_3_low_perf,"[0.25, 0.0]",[20 80],"[0, -1]",egostistical,1,15,0
153,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, -1]",pomdp,1,22,6
154,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, -1]",myopic,1,33,12
155,param_4_low_perf,"[0.25, 0.0]",[ 20 100],"[0, -1]",egostistical,1,15,0
156,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, -1]",pomdp,1,22,6
157,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, -1]",myopic,1,33,12
158,param_5_low_perf,"[0.25, 0.0]",[ 20 120],"[0, -1]",egostistical,1,15,0
159,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, -1]",pomdp,0,22,7
160,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, -1]",myopic,1,29,12
161,param_6_low_perf,"[0.25, 0.0]",[40 60],"[0, -1]",egostistical,1,15,0
162,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, -1]",pomdp,0,22,7
163,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, -1]",myopic,1,29,12
164,param_7_low_perf,"[0.25, 0.0]",[40 80],"[0, -1]",egostistical,1,15,0
165,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, -1]",pomdp,1,22,6
166,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, -1]",myopic,1,32,12
167,param_8_low_perf,"[0.25, 0.0]",[ 40 100],"[0, -1]",egostistical,1,15,0
168,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, 0]",pomdp,1,19,3
169,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, 0]",myopic,2,26,12
170,param_1_low_perf,"[0.25, 0.0]",[20 40],"[0, 0]",egostistical,1,15,0
171,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, 0]",pomdp,1,22,6
172,param_2_low_perf,"[0.25, 0.0]",[20 60],"[0, 0]",myopic,2,27,12
