,param,initial_risk,intervention,cumlative_risk,travel_time,request_time
122,param_2_low_perf,"[1.0, 0.5]","[-1, -1]",0,0,-5
123,param_2_low_perf,"[1.0, 0.75]","[-1, -1]",0,0,-5
124,param_2_low_perf,"[1.0, 1.0]","[-1, -1]",0,0,-12
125,param_2_low_perf,"[0.0, 0.0]","[-1, 0]",-1,-12,-12
126,param_2_low_perf,"[0.25, 0.0]","[-1, 0]",-1,-4,-6
127,param_2_low_perf,"[0.0, 0.25]","[-1, 0]",0,-11,-11
128,param_2_low_perf,"[0.25, 0.25]","[-1, 0]",0,1,-2
129,param_2_low_perf,"[0.5, 0.0]","[-1, 0]",-1,-4,-12
130,param_2_low_perf,"[0.5, 0.25]","[-1, 0]",0,1,-8
131,param_2_low_perf,"[0.75, 0.0]","[-1, 0]",-1,-4,-12
132,param_2_low_perf,"[0.75, 0.25]","[-1, 0]",0,1,-8
133,param_2_low_perf,"[1.0, 0.0]","[-1, 0]",-1,-4,-12
134,param_2_low_perf,"[1.0, 0.25]","[-1, 0]",0,1,-8
135,param_2_low_perf,"[0.0, 0.5]","[-1, 0]",-1,-1,-12
136,param_2_low_perf,"[0.0, 0.75]","[-1, 0]",-1,-1,-12
137,param_2_low_perf,"[0.0, 1.0]","[-1, 0]",-1,-1,-12
138,param_2_low_perf,"[0.25, 0.5]","[-1, 0]",-1,-2,1
139,param_2_low_perf,"[0.25, 0.75]","[-1, 0]",-1,-2,1
140,param_2_low_perf,"[0.25, 1.0]","[-1, 0]",-1,4,-6
141,param_2_low_perf,"[0.5, 0.5]","[-1, 0]",-1,-3,-5
142,param_2_low_perf,"[0.5, 0.75]","[-1, 0]",-1,-3,-5
143,param_2_low_perf,"[0.5, 1.0]","[-1, 0]",-1,4,-12
144,param_2_low_perf,"[0.75, 0.5]","[-1, 0]",-1,-3,-5
145,param_2_low_perf,"[0.75, 0.75]","[-1, 0]",-1,-3,-5
146,param_2_low_perf,"[0.75, 1.0]","[-1, 0]",-1,4,-12
147,param_2_low_perf,"[1.0, 0.5]","[-1, 0]",-1,-3,-5
148,param_2_low_perf,"[1.0, 0.75]","[-1, 0]",-1,-3,-5
149,param_2_low_perf,"[1.0, 1.0]","[-1, 0]",-1,4,-12
150,param_2_low_perf,"[0.0, 0.0]","[0, -1]",-1,-16,-12
151,param_2_low_perf,"[0.25, 0.0]","[0, -1]",0,-9,-6
152,param_2_low_perf,"[0.0, 0.25]","[0, -1]",0,-15,-11
153,param_2_low_perf,"[0.25, 0.25]","[0, -1]",1,-4,-2
154,param_2_low_perf,"[0.5, 0.0]","[0, -1]",-1,-8,-12
155,param_2_low_perf,"[0.5, 0.25]","[0, -1]",0,-3,-8
156,param_2_low_perf,"[0.75, 0.0]","[0, -1]",-1,-8,-12
