,param,risk,position,intervention,agent,cumlative_risk,cumlative_risk_low,cumlative_risk_high,travel_time,request_time,request_count
135,param_13_low,"[0.0, 0.0]",[ 60 120],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
136,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, 0]",pomdp,0,0,0,15,0,0
137,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, 0]",myopic,1,1,0,27,10,2
138,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, 0]",egoistical,0,0,0,15,0,0
139,param_14_low,"[0.0, 0.0]",[ 60 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
140,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, 0]",pomdp,0,0,0,15,0,0
141,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, 0]",myopic,1,1,0,23,10,2
142,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, 0]",egoistical,0,0,0,15,0,0
143,param_15_low,"[0.0, 0.0]",[ 20 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
144,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, 0]",pomdp,0,0,0,15,0,0
145,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, 0]",myopic,1,1,0,27,10,2
146,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, 0]",egoistical,0,0,0,15,0,0
147,param_16_low,"[0.0, 0.0]",[ 80 100],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
148,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, 0]",pomdp,0,0,0,15,0,0
149,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, 0]",myopic,1,1,0,27,10,2
150,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, 0]",egoistical,0,0,0,15,0,0
151,param_17_low,"[0.0, 0.0]",[ 80 120],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
152,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, 0]",pomdp,0,0,0,15,0,0
153,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, 0]",myopic,1,1,0,27,10,2
154,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, 0]",egoistical,0,0,0,15,0,0
155,param_18_low,"[0.0, 0.0]",[ 80 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
156,param_19_low,"[0.0, 0.0]",[100 120],"[-1, 0]",pomdp,0,0,0,15,0,0
157,param_19_low,"[0.0, 0.0]",[100 120],"[-1, 0]",myopic,1,1,0,27,10,2
158,param_19_low,"[0.0, 0.0]",[100 120],"[-1, 0]",egoistical,0,0,0,15,0,0
159,param_19_low,"[0.0, 0.0]",[100 120],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
160,param_20_low,"[0.0, 0.0]",[100 140],"[-1, 0]",pomdp,0,0,0,15,0,0
161,param_20_low,"[0.0, 0.0]",[100 140],"[-1, 0]",myopic,1,1,0,27,10,2
162,param_20_low,"[0.0, 0.0]",[100 140],"[-1, 0]",egoistical,0,0,0,15,0,0
163,param_20_low,"[0.0, 0.0]",[100 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
164,param_21_low,"[0.0, 0.0]",[120 140],"[-1, 0]",pomdp,0,0,0,15,0,0
165,param_21_low,"[0.0, 0.0]",[120 140],"[-1, 0]",myopic,1,1,0,27,10,2
166,param_21_low,"[0.0, 0.0]",[120 140],"[-1, 0]",egoistical,0,0,0,15,0,0
167,param_21_low,"[0.0, 0.0]",[120 140],"[-1, 0]",pomdp_wo_perf,0,0,0,15,0,0
168,param_1_low,"[0.0, 0.0]",[20 40],"[0, -1]",pomdp,0,0,0,15,0,0
169,param_1_low,"[0.0, 0.0]",[20 40],"[0, -1]",myopic,0,0,0,31,10,2
170,param_1_low,"[0.0, 0.0]",[20 40],"[0, -1]",egoistical,0,0,0,15,0,0
171,param_1_low,"[0.0, 0.0]",[20 40],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
172,param_2_low,"[0.0, 0.0]",[20 60],"[0, -1]",pomdp,0,0,0,15,0,0
173,param_2_low,"[0.0, 0.0]",[20 60],"[0, -1]",myopic,1,1,0,32,10,2
174,param_2_low,"[0.0, 0.0]",[20 60],"[0, -1]",egoistical,0,0,0,15,0,0
175,param_2_low,"[0.0, 0.0]",[20 60],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
176,param_3_low,"[0.0, 0.0]",[20 80],"[0, -1]",pomdp,0,0,0,15,0,0
177,param_3_low,"[0.0, 0.0]",[20 80],"[0, -1]",myopic,1,1,0,32,10,2
178,param_3_low,"[0.0, 0.0]",[20 80],"[0, -1]",egoistical,0,0,0,15,0,0
179,param_3_low,"[0.0, 0.0]",[20 80],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
180,param_4_low,"[0.0, 0.0]",[ 20 100],"[0, -1]",pomdp,0,0,0,15,0,0
181,param_4_low,"[0.0, 0.0]",[ 20 100],"[0, -1]",myopic,1,1,0,32,10,2
182,param_4_low,"[0.0, 0.0]",[ 20 100],"[0, -1]",egoistical,0,0,0,15,0,0
183,param_4_low,"[0.0, 0.0]",[ 20 100],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
184,param_5_low,"[0.0, 0.0]",[ 20 120],"[0, -1]",pomdp,0,0,0,15,0,0
185,param_5_low,"[0.0, 0.0]",[ 20 120],"[0, -1]",myopic,1,1,0,32,10,2
186,param_5_low,"[0.0, 0.0]",[ 20 120],"[0, -1]",egoistical,0,0,0,15,0,0
187,param_5_low,"[0.0, 0.0]",[ 20 120],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
188,param_6_low,"[0.0, 0.0]",[40 60],"[0, -1]",pomdp,0,0,0,15,0,0
189,param_6_low,"[0.0, 0.0]",[40 60],"[0, -1]",myopic,0,0,0,31,10,2
190,param_6_low,"[0.0, 0.0]",[40 60],"[0, -1]",egoistical,0,0,0,15,0,0
191,param_6_low,"[0.0, 0.0]",[40 60],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
192,param_7_low,"[0.0, 0.0]",[40 80],"[0, -1]",pomdp,0,0,0,15,0,0
193,param_7_low,"[0.0, 0.0]",[40 80],"[0, -1]",myopic,1,1,0,31,10,2
194,param_7_low,"[0.0, 0.0]",[40 80],"[0, -1]",egoistical,0,0,0,15,0,0
195,param_7_low,"[0.0, 0.0]",[40 80],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
196,param_8_low,"[0.0, 0.0]",[ 40 100],"[0, -1]",pomdp,0,0,0,15,0,0
197,param_8_low,"[0.0, 0.0]",[ 40 100],"[0, -1]",myopic,1,1,0,33,10,2
198,param_8_low,"[0.0, 0.0]",[ 40 100],"[0, -1]",egoistical,0,0,0,15,0,0
199,param_8_low,"[0.0, 0.0]",[ 40 100],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
200,param_9_low,"[0.0, 0.0]",[ 40 120],"[0, -1]",pomdp,0,0,0,15,0,0
201,param_9_low,"[0.0, 0.0]",[ 40 120],"[0, -1]",myopic,1,1,0,31,10,2
202,param_9_low,"[0.0, 0.0]",[ 40 120],"[0, -1]",egoistical,0,0,0,15,0,0
203,param_9_low,"[0.0, 0.0]",[ 40 120],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
204,param_10_low,"[0.0, 0.0]",[ 40 140],"[0, -1]",pomdp,0,0,0,15,0,0
205,param_10_low,"[0.0, 0.0]",[ 40 140],"[0, -1]",myopic,1,1,0,30,10,2
206,param_10_low,"[0.0, 0.0]",[ 40 140],"[0, -1]",egoistical,0,0,0,15,0,0
207,param_10_low,"[0.0, 0.0]",[ 40 140],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
208,param_11_low,"[0.0, 0.0]",[60 80],"[0, -1]",pomdp,0,0,0,15,0,0
209,param_11_low,"[0.0, 0.0]",[60 80],"[0, -1]",myopic,0,0,0,30,10,2
210,param_11_low,"[0.0, 0.0]",[60 80],"[0, -1]",egoistical,0,0,0,15,0,0
211,param_11_low,"[0.0, 0.0]",[60 80],"[0, -1]",pomdp_wo_perf,0,0,0,15,0,0
212,param_12_low,"[0.0, 0.0]",[ 60 100],"[0, -1]",pomdp,0,0,0,15,0,0
213,param_12_low,"[0.0, 0.0]",[ 60 100],"[0, -1]",myopic,1,1,0,29,10,2
214,param_12_low,"[0.0, 0.0]",[ 60 100],"[0, -1]",egoistical,0,0,0,15,0,0
