,param,initial_state,intervention,agent,cumlative_risk,travel_time,request_time
102,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
103,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,22,12
104,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
105,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
106,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,11
107,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
108,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
109,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
110,param_2_10,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
111,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
112,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
113,param_2_11,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
114,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
115,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
116,param_2_12,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
117,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
118,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
119,param_2_13,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
120,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
121,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
122,param_2_14,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
123,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",pomdp,0.0,15,0
124,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",myopic,0.0,15,12
125,param_2_15,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, -1]",egostistical,0.0,15,0
126,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
127,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
128,param_2_1,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
129,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
130,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
131,param_2_2,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
132,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
133,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
134,param_2_3,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
135,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
136,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
137,param_2_4,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
138,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
139,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
140,param_2_6,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
141,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
142,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
143,param_2_7,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
144,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
145,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,12
146,param_2_8,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",egostistical,0.0,15,0
147,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",pomdp,0.0,15,0
148,param_2_9,"[0, 11.2, 0, -1, 0.0, 0.0]","[0, 0]",myopic,0.0,15,11
