,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
114,param_13_3,"[1.0, 0.5]","[-1, -1]",0.0,0,12
115,param_13_3,"[0.0, 0.75]","[-1, -1]",0.0,0,5
116,param_13_3,"[0.25, 0.75]","[-1, -1]",0.0,3,5
117,param_13_3,"[0.5, 0.75]","[-1, -1]",0.0,0,12
118,param_13_3,"[0.75, 0.75]","[-1, -1]",0.0,0,12
119,param_13_3,"[1.0, 0.75]","[-1, -1]",0.0,0,12
120,param_13_3,"[0.0, 1.0]","[-1, -1]",0.0,0,5
121,param_13_3,"[0.25, 1.0]","[-1, -1]",0.0,3,5
122,param_13_3,"[0.5, 1.0]","[-1, -1]",0.0,0,12
123,param_13_3,"[0.75, 1.0]","[-1, -1]",0.0,0,12
124,param_13_3,"[1.0, 1.0]","[-1, -1]",0.0,0,12
125,param_13_3,"[0.0, 0.0]","[0, 0]",0.0,0,-12
126,param_13_3,"[0.25, 0.0]","[0, 0]",0.0,0,-7
127,param_13_3,"[0.5, 0.0]","[0, 0]",0.0,-2,-7
128,param_13_3,"[0.75, 0.0]","[0, 0]",0.0,-2,-7
129,param_13_3,"[1.0, 0.0]","[0, 0]",0.0,-2,-7
130,param_13_3,"[0.0, 0.25]","[0, 0]",0.0,0,-6
131,param_13_3,"[0.25, 0.25]","[0, 0]",0.0,0,-1
132,param_13_3,"[0.5, 0.25]","[0, 0]",0.0,0,0
133,param_13_3,"[0.75, 0.25]","[0, 0]",0.0,0,0
134,param_13_3,"[1.0, 0.25]","[0, 0]",0.0,0,0
135,param_13_3,"[0.0, 0.5]","[0, 0]",0.0,-4,-6
136,param_13_3,"[0.25, 0.5]","[0, 0]",0.0,-2,-1
137,param_13_3,"[0.5, 0.5]","[0, 0]",0.0,2,-1
138,param_13_3,"[0.75, 0.5]","[0, 0]",0.0,2,-1
139,param_13_3,"[1.0, 0.5]","[0, 0]",0.0,2,-1
140,param_13_3,"[0.0, 0.75]","[0, 0]",0.0,-4,-6
141,param_13_3,"[0.25, 0.75]","[0, 0]",0.0,-2,-1
142,param_13_3,"[0.5, 0.75]","[0, 0]",0.0,2,-1
143,param_13_3,"[0.75, 0.75]","[0, 0]",0.0,2,-1
144,param_13_3,"[1.0, 0.75]","[0, 0]",0.0,2,-1
145,param_13_3,"[0.0, 1.0]","[0, 0]",0.0,-4,-6
146,param_13_3,"[0.25, 1.0]","[0, 0]",0.0,-2,-1
147,param_13_3,"[0.5, 1.0]","[0, 0]",0.0,2,-1
148,param_13_3,"[0.75, 1.0]","[0, 0]",0.0,2,-1
149,param_13_3,"[1.0, 1.0]","[0, 0]",0.0,2,-1
150,param_13_4,"[0.0, 0.0]","[-1, -1]",0.0,0,-12
151,param_13_4,"[0.25, 0.0]","[-1, -1]",0.0,0,-12
152,param_13_4,"[0.5, 0.0]","[-1, -1]",0.0,0,-6
153,param_13_4,"[0.75, 0.0]","[-1, -1]",0.0,0,-6
154,param_13_4,"[1.0, 0.0]","[-1, -1]",0.0,0,-6
155,param_13_4,"[0.0, 0.25]","[-1, -1]",0.0,4,-6
156,param_13_4,"[0.25, 0.25]","[-1, -1]",0.0,4,-6
157,param_13_4,"[0.5, 0.25]","[-1, -1]",0.0,0,0
158,param_13_4,"[0.75, 0.25]","[-1, -1]",0.0,0,0
159,param_13_4,"[1.0, 0.25]","[-1, -1]",0.0,0,0
160,param_13_4,"[0.0, 0.5]","[-1, -1]",0.0,0,5
161,param_13_4,"[0.25, 0.5]","[-1, -1]",0.0,0,5
162,param_13_4,"[0.5, 0.5]","[-1, -1]",0.0,0,11
163,param_13_4,"[0.75, 0.5]","[-1, -1]",0.0,0,11
164,param_13_4,"[1.0, 0.5]","[-1, -1]",0.0,0,11
165,param_13_4,"[0.0, 0.75]","[-1, -1]",0.0,0,5
166,param_13_4,"[0.25, 0.75]","[-1, -1]",0.0,0,5
167,param_13_4,"[0.5, 0.75]","[-1, -1]",0.0,0,11
168,param_13_4,"[0.75, 0.75]","[-1, -1]",0.0,0,11
169,param_13_4,"[1.0, 0.75]","[-1, -1]",0.0,0,11
170,param_13_4,"[0.0, 1.0]","[-1, -1]",0.0,0,5
171,param_13_4,"[0.25, 1.0]","[-1, -1]",0.0,0,5
172,param_13_4,"[0.5, 1.0]","[-1, -1]",0.0,0,11
173,param_13_4,"[0.75, 1.0]","[-1, -1]",0.0,0,11
174,param_13_4,"[1.0, 1.0]","[-1, -1]",0.0,0,11
175,param_13_4,"[0.0, 0.0]","[0, 0]",0.0,0,-12
176,param_13_4,"[0.25, 0.0]","[0, 0]",0.0,0,-12
177,param_13_4,"[0.5, 0.0]","[0, 0]",0.0,0,-6
178,param_13_4,"[0.75, 0.0]","[0, 0]",0.0,0,-6
179,param_13_4,"[1.0, 0.0]","[0, 0]",0.0,0,-6
180,param_13_4,"[0.0, 0.25]","[0, 0]",0.0,0,-6
