,param,scenario,agent,cumlative_risk,travel_time,request_time
172,param_5_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
173,param_5_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
174,param_5_4,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
175,param_5_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
176,param_5_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
177,param_5_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
178,param_5_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
179,param_5_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
180,param_5_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
181,param_5_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
182,param_5_7,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
183,param_5_7,"[0.0, 0.0][-1, -1]",myopic,0.0,23,13
184,param_5_7,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
185,param_5_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
186,param_5_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
187,param_5_8,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
188,param_5_8,"[0.0, 0.0][-1, -1]",myopic,0.0,22,12
189,param_5_8,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
190,param_5_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
191,param_5_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
192,param_5_9,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
193,param_5_9,"[0.0, 0.0][-1, -1]",myopic,0.0,27,12
194,param_5_9,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
195,param_5_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
196,param_5_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
197,param_5_10,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
198,param_5_10,"[0.0, 0.0][-1, -1]",myopic,0.0,26,14
199,param_5_10,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
200,param_5_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
201,param_5_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
202,param_5_11,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
203,param_5_11,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
204,param_5_11,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
205,param_5_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
206,param_5_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
207,param_5_12,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
208,param_5_12,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
209,param_5_12,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
210,param_5_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
211,param_5_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
212,param_5_13,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
213,param_5_13,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
214,param_5_13,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
215,param_5_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
216,param_5_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
217,param_5_14,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
218,param_5_14,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
219,param_5_14,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
220,param_5_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
221,param_5_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
222,param_5_15,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
223,param_5_15,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
224,param_5_15,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
225,param_6_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
226,param_6_1,"[0.0, 0.0][-1, -1]",myopic,0.0,32,16
227,param_6_1,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
228,param_6_1,"[0.0, 0.0][-1, -1]",myopic,0.0,32,16
229,param_6_1,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
230,param_6_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
231,param_6_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
232,param_6_2,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
233,param_6_2,"[0.0, 0.0][-1, -1]",myopic,0.0,23,14
234,param_6_2,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
235,param_6_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
236,param_6_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
237,param_6_6,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
238,param_6_6,"[0.0, 0.0][-1, -1]",myopic,0.0,24,14
239,param_6_6,"[0.0, 0.0][-1, -1]",egostistical,0.0,15,0
240,param_6_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
241,param_6_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
242,param_6_4,"[0.0, 0.0][-1, -1]",pomdp,0.0,15,0
243,param_6_4,"[0.0, 0.0][-1, -1]",myopic,0.0,15,12
