,param,risk,intervention,agent,cumlative_risk,travel_time,request_time
202,param_13_8,"[0.25, 0.0]","[-1, -1]",myopic,0,22,12
203,param_13_8,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
204,param_13_9,"[0.25, 0.0]","[-1, -1]",pomdp,0,18,6
205,param_13_9,"[0.25, 0.0]","[-1, -1]",myopic,0,29,12
206,param_13_9,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
207,param_13_10,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,6
208,param_13_10,"[0.25, 0.0]","[-1, -1]",myopic,0,31,12
209,param_13_10,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
210,param_13_11,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
211,param_13_11,"[0.25, 0.0]","[-1, -1]",myopic,0,15,12
212,param_13_11,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
213,param_13_12,"[0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
214,param_13_12,"[0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
215,param_13_12,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
216,param_13_13,"[0.25, 0.0]","[-1, -1]",pomdp,0,19,5
217,param_13_13,"[0.25, 0.0]","[-1, -1]",myopic,0,15,12
218,param_13_13,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
219,param_13_14,"[0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
220,param_13_14,"[0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
221,param_13_14,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
222,param_13_15,"[0.25, 0.0]","[-1, -1]",pomdp,0.5,15,0
223,param_13_15,"[0.25, 0.0]","[-1, -1]",myopic,0.5,15,12
224,param_13_15,"[0.25, 0.0]","[-1, -1]",egostistical,0.5,15,0
225,param_13_1,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
226,param_13_1,"[0.25, 0.0]","[-1, 0]",myopic,0,26,12
227,param_13_1,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
228,param_13_2,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
229,param_13_2,"[0.25, 0.0]","[-1, 0]",myopic,0,23,12
230,param_13_2,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
231,param_13_3,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
232,param_13_3,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
233,param_13_3,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
234,param_13_4,"[0.25, 0.0]","[-1, 0]",pomdp,0.5,15,0
235,param_13_4,"[0.25, 0.0]","[-1, 0]",myopic,0.5,15,12
236,param_13_4,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
237,param_13_5,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
238,param_13_5,"[0.25, 0.0]","[-1, 0]",myopic,0,26,12
239,param_13_5,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
240,param_13_6,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
241,param_13_6,"[0.25, 0.0]","[-1, 0]",myopic,0,26,12
242,param_13_6,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
243,param_13_7,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,6
244,param_13_7,"[0.25, 0.0]","[-1, 0]",myopic,0,23,12
245,param_13_7,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
246,param_13_8,"[0.25, 0.0]","[-1, 0]",pomdp,0,19,5
247,param_13_8,"[0.25, 0.0]","[-1, 0]",myopic,0,15,12
248,param_13_8,"[0.25, 0.0]","[-1, 0]",egostistical,0.5,15,0
249,param_13_9,"[0.25, 0.0]","[-1, 0]",pomdp,0,18,6
