,param,risk,position,intervention,agent,cumlative_risk,travel_time,request_time
105,param_15,"[0.0, 0.0]",[ 60 140],"[-1, 0]",pomdp,0.0,15,0
106,param_15,"[0.0, 0.0]",[ 60 140],"[-1, 0]",myopic,0.0,15,12
107,param_15,"[0.0, 0.0]",[ 60 140],"[-1, 0]",egostistical,0.0,15,0
108,param_16,"[0.0, 0.0]",[ 80 100],"[-1, 0]",pomdp,0.0,15,0
109,param_16,"[0.0, 0.0]",[ 80 100],"[-1, 0]",myopic,0.0,23,12
110,param_16,"[0.0, 0.0]",[ 80 100],"[-1, 0]",egostistical,0.0,15,0
111,param_17,"[0.0, 0.0]",[ 80 120],"[-1, 0]",pomdp,0.0,15,0
112,param_17,"[0.0, 0.0]",[ 80 120],"[-1, 0]",myopic,0.0,23,12
113,param_17,"[0.0, 0.0]",[ 80 120],"[-1, 0]",egostistical,0.0,15,0
114,param_18,"[0.0, 0.0]",[ 80 140],"[-1, 0]",pomdp,0.0,15,0
115,param_18,"[0.0, 0.0]",[ 80 140],"[-1, 0]",myopic,0.0,23,12
116,param_18,"[0.0, 0.0]",[ 80 140],"[-1, 0]",egostistical,0.0,15,0
117,param_19,"[0.0, 0.0]",[100 120],"[-1, 0]",pomdp,0.0,15,0
118,param_19,"[0.0, 0.0]",[100 120],"[-1, 0]",myopic,0.0,26,12
119,param_19,"[0.0, 0.0]",[100 120],"[-1, 0]",egostistical,0.0,15,0
120,param_20,"[0.0, 0.0]",[100 140],"[-1, 0]",pomdp,0.0,15,0
121,param_20,"[0.0, 0.0]",[100 140],"[-1, 0]",myopic,0.0,26,12
122,param_20,"[0.0, 0.0]",[100 140],"[-1, 0]",egostistical,0.0,15,0
123,param_21,"[0.0, 0.0]",[120 140],"[-1, 0]",pomdp,0.0,15,0
124,param_21,"[0.0, 0.0]",[120 140],"[-1, 0]",myopic,0.0,26,12
125,param_21,"[0.0, 0.0]",[120 140],"[-1, 0]",egostistical,0.0,15,0
126,param_1,"[0.0, 0.0]",[20 40],"[0, -1]",pomdp,0.0,15,0
127,param_1,"[0.0, 0.0]",[20 40],"[0, -1]",myopic,0.0,15,12
128,param_1,"[0.0, 0.0]",[20 40],"[0, -1]",egostistical,0.0,15,0
129,param_2,"[0.0, 0.0]",[20 60],"[0, -1]",pomdp,0.0,15,0
130,param_2,"[0.0, 0.0]",[20 60],"[0, -1]",myopic,0.0,15,12
131,param_2,"[0.0, 0.0]",[20 60],"[0, -1]",egostistical,0.0,15,0
132,param_3,"[0.0, 0.0]",[20 80],"[0, -1]",pomdp,0.0,15,0
133,param_3,"[0.0, 0.0]",[20 80],"[0, -1]",myopic,0.0,15,12
134,param_3,"[0.0, 0.0]",[20 80],"[0, -1]",egostistical,0.0,15,0
135,param_4,"[0.0, 0.0]",[ 20 100],"[0, -1]",pomdp,0.0,15,0
136,param_4,"[0.0, 0.0]",[ 20 100],"[0, -1]",myopic,0.0,15,12
