,param,initial_risk,intervention,cumlative_risk,travel_time,request_time,label
85,param_1,"[0.0, 0.5]","[0, 0]",0.0,-6,-7,1
86,param_1,"[0.0, 0.75]","[0, 0]",0.0,-6,-7,1
87,param_1,"[0.0, 1.0]","[0, 0]",0.0,-6,-7,1
88,param_1,"[0.25, 0.5]","[0, 0]",0.0,0,-10,1
89,param_1,"[0.25, 0.75]","[0, 0]",0.0,0,-10,1
90,param_1,"[0.25, 1.0]","[0, 0]",0.0,0,-10,1
91,param_1,"[0.5, 0.5]","[0, 0]",0.0,-3,-6,1
92,param_1,"[0.5, 0.75]","[0, 0]",0.0,-3,-6,1
93,param_1,"[0.5, 1.0]","[0, 0]",0.0,-3,-6,1
94,param_1,"[0.75, 0.5]","[0, 0]",0.0,-3,-6,1
95,param_1,"[0.75, 0.75]","[0, 0]",0.0,-3,-6,1
96,param_1,"[0.75, 1.0]","[0, 0]",0.0,-3,-6,1
97,param_1,"[1.0, 0.5]","[0, 0]",0.0,-3,-6,1
98,param_1,"[1.0, 0.75]","[0, 0]",0.0,-3,-6,1
99,param_1,"[1.0, 1.0]","[0, 0]",0.0,-3,-6,1
100,param_2,"[0.0, 0.0]","[-1, -1]",0.0,0,-12,2
101,param_2,"[0.25, 0.0]","[-1, -1]",0.0,-2,-8,2
102,param_2,"[0.0, 0.25]","[-1, -1]",-0.5,5,-8,2
103,param_2,"[0.25, 0.25]","[-1, -1]",0.0,-5,-4,2
104,param_2,"[0.5, 0.0]","[-1, -1]",0.0,0,-12,2
105,param_2,"[0.5, 0.25]","[-1, -1]",0.0,-4,-9,2
106,param_2,"[0.75, 0.0]","[-1, -1]",0.0,0,-12,2
107,param_2,"[0.75, 0.25]","[-1, -1]",0.0,-4,-9,2
108,param_2,"[1.0, 0.0]","[-1, -1]",0.0,0,-12,2
109,param_2,"[1.0, 0.25]","[-1, -1]",0.0,-4,-9,2
110,param_2,"[0.0, 0.5]","[-1, -1]",0.0,0,-7,2
111,param_2,"[0.0, 0.75]","[-1, -1]",0.0,0,-7,2
112,param_2,"[0.0, 1.0]","[-1, -1]",0.0,0,-7,2
113,param_2,"[0.25, 0.5]","[-1, -1]",0.0,-1,-2,2
114,param_2,"[0.25, 0.75]","[-1, -1]",0.0,-1,-2,2
115,param_2,"[0.25, 1.0]","[-1, -1]",0.0,-1,-2,2
116,param_2,"[0.5, 0.5]","[-1, -1]",0.0,0,-1,2
117,param_2,"[0.5, 0.75]","[-1, -1]",0.0,0,-1,2
118,param_2,"[0.5, 1.0]","[-1, -1]",0.0,0,-1,2
119,param_2,"[0.75, 0.5]","[-1, -1]",0.0,0,-1,2
120,param_2,"[0.75, 0.75]","[-1, -1]",0.0,0,-1,2
121,param_2,"[0.75, 1.0]","[-1, -1]",0.0,0,-1,2
122,param_2,"[1.0, 0.5]","[-1, -1]",0.0,0,-1,2
123,param_2,"[1.0, 0.75]","[-1, -1]",0.0,0,-1,2
