,param,initial_risk,operator_intervention,cumlative_risk,travel_time,request_time
113,param_2_2,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
114,param_2_3,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
115,param_2_4,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-7
116,param_2_6,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
117,param_2_7,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
118,param_2_8,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
119,param_2_9,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,-4,3
120,param_2_10,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,-3,-5
121,param_2_11,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-2
122,param_2_12,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-7
123,param_2_13,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,-3,-3
124,param_2_14,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,0,-7
125,param_2_15,"risk:[1.0, 0.0]","int:[-1, -1]",0.0,-3,-7
126,param_2_1,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
127,param_2_2,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
128,param_2_3,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-2,-7
129,param_2_4,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
130,param_2_6,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
131,param_2_7,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
132,param_2_8,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-2,-7
133,param_2_9,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
134,param_2_10,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
135,param_2_11,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-2,-7
136,param_2_12,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
137,param_2_13,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-2,-7
138,param_2_14,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
139,param_2_15,"risk:[1.0, 0.0]","int:[0, 0]",0.0,-1,-7
140,param_2_1,"risk:[0.0, 0.25]","int:[-1, -1]",0.5,-12,-16
